utt_id,technique,variant,singer_id,cos_to_source,shift_norm,shift_alignment
EN-Alto-1__breathy__technique__innocence__0010_v0,breathy,0,EN-Alto-1,0.7205700874328613,0.7475693821907043,0.08468934148550034
EN-Alto-1__breathy__technique__innocence__0010_v1,breathy,1,EN-Alto-1,0.698527455329895,0.7764954566955566,0.05723176896572113
EN-Alto-1__breathy__technique__innocence__0010_v2,breathy,2,EN-Alto-1,0.6724276542663574,0.8094101548194885,0.04460121691226959
EN-Alto-1__breathy__technique__innocence__0011_v0,breathy,0,EN-Alto-1,0.7258678674697876,0.7404488325119019,0.11399957537651062
EN-Alto-1__breathy__technique__innocence__0011_v1,breathy,1,EN-Alto-1,0.7109658718109131,0.7603081464767456,0.08682334423065186
EN-Alto-1__breathy__technique__innocence__0011_v2,breathy,2,EN-Alto-1,0.6731348037719727,0.8085361123085022,0.07423180341720581
EN-Alto-1__breathy__technique__innocence__0012_v0,breathy,0,EN-Alto-1,0.6811869740486145,0.7985150814056396,0.15180180966854095
EN-Alto-1__breathy__technique__innocence__0012_v1,breathy,1,EN-Alto-1,0.6632111072540283,0.8207178711891174,0.13226577639579773
EN-Alto-1__breathy__technique__innocence__0012_v2,breathy,2,EN-Alto-1,0.6228318214416504,0.8685254454612732,0.11535726487636566
EN-Alto-1__breathy__technique__innocence__0013_v0,breathy,0,EN-Alto-1,0.7480827569961548,0.7098131775856018,0.12657451629638672
EN-Alto-1__breathy__technique__innocence__0013_v1,breathy,1,EN-Alto-1,0.7344032526016235,0.7288302779197693,0.14514543116092682
EN-Alto-1__breathy__technique__innocence__0013_v2,breathy,2,EN-Alto-1,0.6884622573852539,0.7893512845039368,0.1722753345966339
EN-Alto-1__breathy__technique__let_it_go__0000_v0,breathy,0,EN-Alto-1,0.3893960416316986,1.1050828695297241,0.03601790592074394
EN-Alto-1__breathy__technique__let_it_go__0000_v1,breathy,1,EN-Alto-1,0.37444639205932617,1.118529200553894,0.08301641792058945
EN-Alto-1__breathy__technique__let_it_go__0000_v2,breathy,2,EN-Alto-1,0.3166326880455017,1.1690744161605835,0.13705138862133026
EN-Alto-1__breathy__technique__let_it_go__0001_v0,breathy,0,EN-Alto-1,0.739884078502655,0.7212710976600647,0.18593363463878632
EN-Alto-1__breathy__technique__let_it_go__0001_v1,breathy,1,EN-Alto-1,0.695445716381073,0.7804542183876038,0.1594851016998291
EN-Alto-1__breathy__technique__let_it_go__0001_v2,breathy,2,EN-Alto-1,0.6292597055435181,0.861092746257782,0.17618903517723083
EN-Alto-1__breathy__technique__let_it_go__0002_v0,breathy,0,EN-Alto-1,0.7959675788879395,0.6387995481491089,0.13588650524616241
EN-Alto-1__breathy__technique__let_it_go__0002_v1,breathy,1,EN-Alto-1,0.7479289174079895,0.7100297212600708,0.14898738265037537
EN-Alto-1__breathy__technique__let_it_go__0002_v2,breathy,2,EN-Alto-1,0.6936741471290588,0.7827208042144775,0.1684553325176239
EN-Alto-1__breathy__technique__let_it_go__0003_v0,breathy,0,EN-Alto-1,0.7267910838127136,0.7392008304595947,0.14483939111232758
