utt_id,singer_id,technique,word_mean_tbe,word_within_50ms,phone_mean_tbe,phone_within_50ms
EN-Alto-1__breathy__technique__safe_and_sound__0004,EN-Alto-1,breathy,0.797,0.1,0.5673809523809523,0.0
EN-Alto-1__breathy__technique__safe_and_sound__0005,EN-Alto-1,breathy,0.1367222222222222,0.2222222222222222,0.20366,0.4
EN-Alto-1__breathy__technique__safe_and_sound__0006,EN-Alto-1,breathy,0.0683333333333333,0.5,0.7564285714285715,0.0
EN-Alto-1__breathy__technique__safe_and_sound__0007,EN-Alto-1,breathy,0.025093750000000026,0.875,0.18991818181818187,0.2727272727272727
EN-Alto-1__breathy__technique__safe_and_sound__0008,EN-Alto-1,breathy,0.7469999999999999,0.0,0.9703124999999999,0.0625
EN-Alto-1__breathy__technique__safe_and_sound__0009,EN-Alto-1,breathy,0.8968,0.2,1.2945833333333334,0.08333333333333333
EN-Alto-1__breathy__technique__safe_and_sound__0010,EN-Alto-1,breathy,0.020999999999999998,1.0,0.021562499999999978,0.875
EN-Alto-1__breathy__technique__safe_and_sound__0011,EN-Alto-1,breathy,0.5832777777777778,0.3333333333333333,0.12434210526315788,0.42105263157894735
EN-Alto-1__breathy__technique__safe_and_sound__0012,EN-Alto-1,breathy,0.12111111111111114,0.2222222222222222,0.1285185185185185,0.48148148148148145
EN-Alto-1__breathy__technique__safe_and_sound__0013,EN-Alto-1,breathy,0.7278124999999999,0.125,0.5249736842105263,0.05263157894736842
EN-Alto-1__breathy__control__safe_and_sound__0000,EN-Alto-1,breathy,0.022906249999999975,0.9375,0.3110531914893617,0.02127659574468085
EN-Alto-1__breathy__control__safe_and_sound__0001,EN-Alto-1,breathy,1.001529411764706,0.47058823529411764,0.7949056603773585,0.03773584905660377
EN-Alto-1__breathy__control__safe_and_sound__0002,EN-Alto-1,breathy,0.04294444444444446,0.6666666666666666,0.3353269230769231,0.19230769230769232
EN-Alto-1__breathy__control__safe_and_sound__0003,EN-Alto-1,breathy,0.05105555555555551,0.7777777777777778,0.05375000000000003,0.7692307692307693
EN-Alto-1__breathy__control__safe_and_sound__0004,EN-Alto-1,breathy,0.7310500000000001,0.2,0.5819761904761903,0.09523809523809523
EN-Alto-1__breathy__control__safe_and_sound__0005,EN-Alto-1,breathy,0.11383333333333326,0.2222222222222222,0.14374000000000003,0.6
EN-Alto-1__breathy__control__safe_and_sound__0006,EN-Alto-1,breathy,0.06524999999999985,0.5,0.8579642857142857,0.14285714285714285
EN-Alto-1__breathy__control__safe_and_sound__0007,EN-Alto-1,breathy,0.02253125000000003,0.875,0.14255454545454538,0.34545454545454546
EN-Alto-1__breathy__control__safe_and_sound__0008,EN-Alto-1,breathy,0.8318999999999999,0.0,0.9816875,0.0625
EN-Alto-1__breathy__control__safe_and_sound__0009,EN-Alto-1,breathy,0.966,0.0,1.3779166666666667,0.0
EN-Alto-1__breathy__control__safe_and_sound__0010,EN-Alto-1,breathy,0.15439999999999993,0.6,0.13262500000000002,0.6875
EN-Alto-1__breathy__control__safe_and_sound__0011,EN-Alto-1,breathy,0.500388888888889,0.4444444444444444,0.13297368421052627,0.5263157894736842
EN-Alto-1__breathy__control__safe_and_sound__0012,EN-Alto-1,breathy,0.22683333333333333,0.2222222222222222,0.21428846153846154,0.4230769230769231
EN-Alto-1__breathy__control__safe_and_sound__0013,EN-Alto-1,breathy,0.05206250000000005,0.5,0.5065526315789475,0.3684210526315789
EN-Alto-1__breathy__speech__safe_and_sound__0000,EN-Alto-1,breathy,0.037062500000000054,0.75,0.32098936170212766,0.0
EN-Alto-1__breathy__speech__safe_and_sound__0001,EN-Alto-1,breathy,0.035029411764705906,0.7058823529411765,0.3234056603773586,0.03773584905660377
EN-Alto-1__breathy__speech__safe_and_sound__0002,EN-Alto-1,breathy,0.04361111111111115,0.5555555555555556,0.21421153846153845,0.19230769230769232
EN-Alto-1__breathy__speech__safe_and_sound__0003,EN-Alto-1,breathy,0.010277777777777755,1.0,0.036211538461538496,0.7307692307692307
EN-Alto-1__breathy__speech__safe_and_sound__0004,EN-Alto-1,breathy,0.032149999999999984,0.9,0.47785714285714287,0.0
EN-Alto-1__breathy__speech__safe_and_sound__0005,EN-Alto-1,breathy,0.032222222222222284,0.6666666666666666,0.05048000000000002,0.68
EN-Alto-1__breathy__speech__safe_and_sound__0006,EN-Alto-1,breathy,0.016833333333333356,1.0,0.3168214285714286,0.14285714285714285
EN-Alto-1__breathy__speech__safe_and_sound__0007,EN-Alto-1,breathy,0.0266250000000001,0.8125,0.1113272727272727,0.36363636363636365
EN-Alto-1__breathy__speech__safe_and_sound__0008,EN-Alto-1,breathy,0.08400000000000002,0.2,0.101875,0.125
EN-Alto-1__breathy__speech__safe_and_sound__0009,EN-Alto-1,breathy,0.0273,1.0,0.20954166666666665,0.75
EN-Alto-1__breathy__speech__safe_and_sound__0010,EN-Alto-1,breathy,0.019500000000000007,0.8,0.012843750000000008,0.9375
EN-Alto-1__breathy__speech__safe_and_sound__0011,EN-Alto-1,breathy,0.02099999999999997,0.8888888888888888,0.1807894736842105,0.42105263157894735
EN-Alto-1__breathy__speech__safe_and_sound__0012,EN-Alto-1,breathy,0.027666666666666662,1.0,0.01333333333333335,1.0
EN-Alto-1__breathy__speech__safe_and_sound__0013,EN-Alto-1,breathy,0.020000000000000004,1.0,0.13578947368421057,0.21052631578947367
EN-Alto-1__breathy__technique__sleepyhead__0000,EN-Alto-1,breathy,0.4319333333333334,0.2,0.41905128205128195,0.10256410256410256
EN-Alto-1__breathy__technique__sleepyhead__0001,EN-Alto-1,breathy,0.01595833333333339,0.9166666666666666,0.03691463414634139,0.8536585365853658
EN-Alto-1__breathy__technique__sleepyhead__0002,EN-Alto-1,breathy,0.5290454545454545,0.5454545454545454,0.6502575757575759,0.2727272727272727
EN-Alto-1__breathy__technique__sleepyhead__0003,EN-Alto-1,breathy,0.6363181818181818,0.36363636363636365,0.8722727272727273,0.2727272727272727
EN-Alto-1__breathy__technique__sleepyhead__0004,EN-Alto-1,breathy,0.020777777777777826,0.9444444444444444,0.20191666666666658,0.3
EN-Alto-1__breathy__technique__sleepyhead__0005,EN-Alto-1,breathy,0.05053846153846157,0.8461538461538461,0.561157894736842,0.0
EN-Alto-1__breathy__technique__sleepyhead__0006,EN-Alto-1,breathy,0.38062500000000016,0.375,0.4232291666666667,0.22916666666666666
EN-Alto-1__breathy__technique__sleepyhead__0007,EN-Alto-1,breathy,0.03144444444444458,0.6666666666666666,0.02576666666666673,0.8333333333333334
EN-Alto-1__breathy__technique__sleepyhead__0008,EN-Alto-1,breathy,0.022727272727272665,0.9090909090909091,0.11526315789473686,0.4473684210526316
EN-Alto-1__breathy__technique__sleepyhead__0009,EN-Alto-1,breathy,0.11077777777777777,0.4444444444444444,0.6519259259259258,0.037037037037037035
EN-Alto-1__breathy__technique__sleepyhead__0010,EN-Alto-1,breathy,0.2029687499999998,0.4375,0.2484431818181818,0.11363636363636363
EN-Alto-1__breathy__technique__sleepyhead__0011,EN-Alto-1,breathy,0.024350000000000028,0.8,0.26016071428571425,0.14285714285714285
EN-Alto-1__breathy__control__sleepyhead__0000,EN-Alto-1,breathy,1.5318333333333334,0.06666666666666667,1.4269615384615384,0.07692307692307693
EN-Alto-1__breathy__control__sleepyhead__0001,EN-Alto-1,breathy,0.02041666666666671,0.9166666666666666,0.016219512195121973,0.975609756097561
EN-Alto-1__breathy__control__sleepyhead__0002,EN-Alto-1,breathy,0.14940909090909102,0.5454545454545454,0.2744696969696969,0.24242424242424243
EN-Alto-1__breathy__control__sleepyhead__0003,EN-Alto-1,breathy,0.502090909090909,0.2727272727272727,0.6084090909090909,0.22727272727272727
EN-Alto-1__breathy__control__sleepyhead__0004,EN-Alto-1,breathy,0.05100000000000031,0.7222222222222222,0.19553333333333325,0.3
EN-Alto-1__breathy__control__sleepyhead__0005,EN-Alto-1,breathy,0.09030769230769234,0.5384615384615384,0.5448947368421052,0.0
EN-Alto-1__breathy__control__sleepyhead__0006,EN-Alto-1,breathy,0.3325937499999998,0.625,0.38562499999999994,0.2708333333333333
EN-Alto-1__breathy__control__sleepyhead__0007,EN-Alto-1,breathy,0.012000000000000085,1.0,0.029166666666666695,0.8666666666666667
EN-Alto-1__breathy__control__sleepyhead__0008,EN-Alto-1,breathy,0.02018181818181818,1.0,0.12173684210526314,0.3684210526315789
EN-Alto-1__breathy__control__sleepyhead__0009,EN-Alto-1,breathy,0.08772222222222233,0.5555555555555556,0.6470185185185187,0.037037037037037035
EN-Alto-1__breathy__control__sleepyhead__0010,EN-Alto-1,breathy,0.27993749999999995,0.375,0.3316363636363636,0.06818181818181818
EN-Alto-1__breathy__control__sleepyhead__0011,EN-Alto-1,breathy,0.026250000000000006,0.8,0.29401785714285716,0.17857142857142858
EN-Alto-1__breathy__speech__sleepyhead__0000,EN-Alto-1,breathy,0.6350333333333332,0.3333333333333333,0.6304743589743589,0.20512820512820512
EN-Alto-1__breathy__speech__sleepyhead__0001,EN-Alto-1,breathy,0.019416666666666613,0.9166666666666666,0.01826829268292684,0.9512195121951219
EN-Alto-1__breathy__speech__sleepyhead__0002,EN-Alto-1,breathy,0.011454545454545445,0.9090909090909091,0.05358823529411767,0.5882352941176471
EN-Alto-1__breathy__speech__sleepyhead__0003,EN-Alto-1,breathy,0.062454545454545436,0.6363636363636364,0.2455454545454546,0.2727272727272727
EN-Alto-1__breathy__speech__sleepyhead__0004,EN-Alto-1,breathy,0.014499999999999926,0.9444444444444444,0.08102499999999996,0.43333333333333335
EN-Alto-1__breathy__speech__sleepyhead__0005,EN-Alto-1,breathy,0.02088461538461539,0.8461538461538461,0.3460657894736842,0.0
EN-Alto-1__breathy__speech__sleepyhead__0006,EN-Alto-1,breathy,0.06524999999999999,0.625,0.1332708333333333,0.2708333333333333
EN-Alto-1__breathy__speech__sleepyhead__0007,EN-Alto-1,breathy,0.00888888888888891,1.0,0.014333333333333358,0.9333333333333333
EN-Alto-1__breathy__speech__sleepyhead__0008,EN-Alto-1,breathy,0.007636363636363643,1.0,0.09463157894736843,0.3157894736842105
EN-Alto-1__breathy__speech__sleepyhead__0009,EN-Alto-1,breathy,0.0373333333333333,0.6666666666666666,0.22451851851851853,0.07407407407407407
EN-Alto-1__breathy__speech__sleepyhead__0010,EN-Alto-1,breathy,0.026218750000000027,0.75,0.17273863636363632,0.045454545454545456
EN-Alto-1__breathy__speech__sleepyhead__0011,EN-Alto-1,breathy,0.01499999999999998,1.0,0.11696428571428567,0.25
EN-Alto-1__breathy__technique__someday_or_oneday__0000,EN-Alto-1,breathy,0.1136250000000002,0.125,0.10450000000000005,0.46875
EN-Alto-1__breathy__technique__someday_or_oneday__0001,EN-Alto-1,breathy,0.2165555555555557,0.1111111111111111,0.3493823529411764,0.11764705882352941
EN-Alto-1__breathy__technique__someday_or_oneday__0002,EN-Alto-1,breathy,0.9182857142857144,0.42857142857142855,0.7861,0.25
EN-Alto-1__breathy__technique__someday_or_oneday__0003,EN-Alto-1,breathy,0.37825,0.25,0.3832857142857144,0.25
EN-Alto-1__breathy__technique__someday_or_oneday__0004,EN-Alto-1,breathy,0.06625000000000002,0.5,0.030027777777777875,0.7777777777777778
EN-Alto-1__breathy__technique__someday_or_oneday__0005,EN-Alto-1,breathy,1.95840625,0.0,1.7953369565217394,0.06521739130434782
